Date,Cases,Deaths,Recovered,Travel_history,Province,City
2/26/2020,1,0,0,Chi,Islamabad Capital Territory,Islamabad
2/26/2020,2,0,0,Iran/Taftan,Sindh,Karachi
2/29/2020,1,0,0,Chi,Islamabad Capital Territory,Islamabad
2/29/2020,1,0,0,Iran/Taftan,Sindh,Karachi
03/02/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
03/06/2020,0,0,1,,Sindh,Karachi
03/07/2020,1,0,0,Iran/Taftan,Sindh,Karachi
03/09/2020,6,0,0,Syria,Sindh,Karachi
03/09/2020,3,0,0,UK,Sindh,Karachi
03/10/2020,1,0,0,Iran/Taftan,Sindh,Karachi
03/10/2020,1,0,0,Syria,Sindh,Hyderabad
03/10/2020,1,0,0,Iran/Taftan,Baluchistan,Quetta
03/11/2020,1,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu
03/11/2020,0,0,1,Iran/Taftan,Sindh,Karachi
03/12/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
3/13/2020,1,0,0,USA,Islamabad Capital Territory,Islamabad
3/13/2020,1,0,1,Local - Social Contact,Sindh,Karachi
3/13/2020,7,0,0,Iran/Taftan,Baluchistan,Taftan
3/15/2020,13,0,0,Iran/Taftan,Sindh,Sukkur
3/15/2020,4,0,0,Iran/Taftan,Sindh,Karachi
3/15/2020,1,0,0,UK,Punjab,Lahore
3/15/2020,15,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
3/15/2020,1,1,0,,Khyber Pakhtunkhwa,Mardan
3/16/2020,119,0,0,Iran/Taftan,Sindh,Sukkur
3/16/2020,26,0,0,Iran/Taftan,Sindh,Karachi
3/16/2020,2,0,0,Iran/Taftan,Sindh,Hyderabad
3/16/2020,1,0,0,,Punjab,Lahore
3/16/2020,1,0,1,,Islamabad Capital Territory,Islamabad
3/16/2020,1,0,0,,khyber Pakhtunkhwa,Mansehra
3/16/2020,1,0,0,,Khyber Pakhtunkhwa,Mardan
3/17/2020,15,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/17/2020,24,0,0,Iran/Taftan,Sindh,Sukkur
3/17/2020,5,0,0,KSA,Sindh,Karachi
3/17/2020,3,0,0,,Punjab,Lahore
3/17/2020,1,0,0,,khyber Pakhtunkhwa,Peshawar
3/17/2020,1,0,0,UK,Khyber Pakhtunkhwa,Charsadda
3/17/2020,2,0,0,Iran/Taftan,Baluchistan,Quetta
3/17/2020,1,0,0,,Islamabad Capital Territory,Islamabad
3/18/2020,2,0,0,,Islamabad Capital Territory,Islamabad
3/18/2020,5,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/18/2020,31,0,0,Iran/Taftan,Sindh,Sukkur
3/18/2020,5,0,0,Local - Social Contact,Sindh,Karachi
3/18/2020,10,0,0,,Gilgit-Baltistan,Gilgit
3/18/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
3/18/2020,1,1,0,KSA,Khyber Pakhtunkhwa,Mardan 
3/18/2020,1,1,0,,Khyber Pakhtunkhwa,Hangu 
